id;eltamont;eltaval;extremite_amont;extremite_aval;lgmvtaval;vit_reg;geometry
TO10D02;R_82658593;S_O10D02;847145.240338 6520928.329592;847115.367225 6520893.555421;45,844;13,89;LINESTRING (847145.240338 6520928.329592, 847115.367225 6520893.555421)
T_1000824912_FRef_F_F;C_837348318;C_82612129;844760.837035 6520692.818325;844680.746215 6520682.611684;97,73133333333334;13,89;LINESTRING (844760.837035 6520692.818325, 844680.746215 6520682.611684)
T_1002412559_FRef_F;C_82613182;C_82613196;846177.261283 6519784.841123;846262.705979 6519753.534152;105,584;13,89;LINESTRING (846177.261283 6519784.841123, 846262.705979 6519753.534152)
T_1007459147_FRef_F_F;C_1024980819;S_753733161;844700.853800 6519843.712000;844700.507900 6519726.504600;117,2145;13,89;LINESTRING (844700.8538 6519843.712, 844700.5079 6519726.5046)
T_1007483473_FRef_F;C_1014200266;R_82613218;846314.430697 6520542.600764;846214.670844 6520514.789989;103,619;13,89;LINESTRING (846314.430697 6520542.600764, 846214.670844 6520514.789989)
T_1007488793_FRef_F_F;R_82620765;R_1033736916;847382.593700 6519771.458000;847013.403600 6519571.538700;420,084;8,33;LINESTRING (847382.5937 6519771.458, 847013.4036 6519571.5387)
T_1007568981_FRef_F;C_82649315;R_82649314;846986.733440 6521748.662984;846971.730771 6521823.779773;76,604;8,33;LINESTRING (846986.73344 6521748.662984, 846971.730771 6521823.779773)
T_1007568982_toRef_F;R_82649314;C_82649315;846965.834029 6521822.671427;846979.651460 6521753.219185;78,323;8,33;LINESTRING (846965.834029 6521822.671427, 846979.65146 6521753.219185)
T_1007568984_toRef_F_F;R_82649304;C_82649290;847019.220300 6521540.729000;847058.744341 6521402.075775;163,673;8,33;LINESTRING (847019.2203 6521540.729, 847058.744341 6521402.075775)
T_1007573949_FRef_F_F;R_82620810;0_58432344;847414.502700 6520482.044000;847391.531100 6520629.231900;175,035;13,89;LINESTRING (847414.5027 6520482.044, 847391.5311 6520629.2319)
T_1012032445_FRef_F;R_82620742;R_82620744;847803.662537 6519634.187135;847966.539360 6519653.670280;164,047;13,89;LINESTRING (847803.662537 6519634.187135, 847966.53936 6519653.67028)
T_1012032446_toRef_F;R_82620744;R_82620742;847965.782240 6519659.622320;847803.037263 6519640.154465;163,914;13,89;LINESTRING (847965.78224 6519659.62232, 847803.037263 6519640.154465)
T_1012101465_FRef_F;C_82612108;C_1024980824;844684.225267 6520340.739517;844679.215603 6520415.571982;92,329;13,89;LINESTRING (844684.225267 6520340.739517, 844679.215603 6520415.571982)
T_1012218257_FRef_F;C_837348318;1424198450;844809.272428 6520717.439731;844993.936735 6520894.542621;286,794;13,89;LINESTRING (844809.272428 6520717.439731, 844993.936735 6520894.542621)
T_1012218258_toRef_F;1424198450;C_837348318;844988.375747 6520898.424754;844806.029562 6520720.016646;322,681;13,89;LINESTRING (844988.375747 6520898.424754, 844806.029562 6520720.016646)
T_1012219226_FRef_F;R_82613151;R_1036871665;845796.985600 6520012.392700;845919.069400 6520044.176300;126,162;13,89;LINESTRING (845796.9856 6520012.3927, 845919.0694 6520044.1763)
T_1012219237_toRef_F_F_F;C_82613280;S_837268381_T_762219180_toRef;846484.936000 6519670.613000;846495.733237 6519569.956432;101,252;8,33;LINESTRING (846484.936 6519670.613, 846495.733237 6519569.956432)
T_1012219239_FRef_F_F;R_82620808;R_82620810;847429.735300 6520365.773000;847414.502700 6520482.043700;119,632;13,89;LINESTRING (847429.7353 6520365.773, 847414.5027 6520482.0437)
T_1012255685_FRef_F;751901020;R_82647795;845163.062749 6521111.714455;845296.974981 6521240.863253;186,112;13,89;LINESTRING (845163.062749 6521111.714455, 845296.974981 6521240.863253)
